Lab Status,Latitude,Longitude,Color,Abdomen
Negative ID,47.83616,-120.01641,0,0
Negative ID,48.71709,-122.340659,0,0
Negative ID,47.68479,-122.297044,0,1
Negative ID,48.75911,-122.473309,0,0
Negative ID,47.75863,-122.14967,0,0
Negative ID,48.10207,-123.473241,0,1
Negative ID,47.31383,-122.219523,0,0
Negative ID,48.84756,-122.59351,0,0
Negative ID,45.71129,-120.4632,0,0
Negative ID,48.96743,-122.259512,0,0
Negative ID,47.7162,-122.29458,0,1
Negative ID,47.07027,-120.031115,1,0
Negative ID,46.67915,-119.924229,0,1
Negative ID,48.69897,-122.906356,0,0
Negative ID,48.99404,-122.265018,0,0
Negative ID,47.32766,-122.673094,0,0
Negative ID,47.76697,-117.33551,0,0
Negative ID,47.53208,-122.33301,0,0
Negative ID,47.57451,-122.608247,0,1
Negative ID,47.70714,-122.209704,0,1
Negative ID,48.94498,-122.76511,0,0
Negative ID,48.03897,-118.265801,0,0
Negative ID,47.95024,-116.873687,1,0
Negative ID,47.50458,-122.377286,0,0
Negative ID,47.58054,-122.30897,0,0
Negative ID,47.09805,-122.641664,1,0
Negative ID,47.73617,-117.488668,0,0
Negative ID,48.99404,-122.74888,0,0
Negative ID,47.62984,-120.68945,0,0
Negative ID,48.76252,-122.335409,1,0
Negative ID,48.39761,-122.223061,0,0
Negative ID,46.29398,-119.288958,0,1
Negative ID,47.28637,-122.29237,0,1
Negative ID,48.76466,-122.462429,0,0
Negative ID,47.71675,-122.13472,1,0
Negative ID,47.76237,-120.166098,0,0
Negative ID,47.59061,-119.38659,0,1
Negative ID,47.56804,-122.637503,1,0
Negative ID,47.21819,-122.434393,0,1
Negative ID,46.25024,-119.329838,0,1
Negative ID,47.67779,-122.297357,0,0
Negative ID,47.98494,-122.212551,0,1
Negative ID,47.20012,-122.532709,0,1
Negative ID,47.44453,-120.30271,0,0
Negative ID,47.17484,-122.333111,0,0
Negative ID,47.31142,-122.330187,0,1
Negative ID,47.30571,-122.210226,0,0
Negative ID,48.01479,-122.06411,0,1
Negative ID,47.00142,-122.809026,1,1
Negative ID,48.08158,-121.96931,0,0
Negative ID,47.07493,-122.713043,0,0
Negative ID,47.85134,-120.035296,1,0
Negative ID,46.96679,-117.91437,1,0
Negative ID,47.0727,-122.712731,1,0
Negative ID,47.66865,-122.343328,0,1
Negative ID,47.43355,-122.341049,0,0
Negative ID,48.10519,-123.443025,0,1
Negative ID,47.9099,-122.192289,0,0
Negative ID,47.51486,-120.478976,0,1
Negative ID,48.79692,-122.461839,1,1
Negative ID,47.71484,-121.986201,0,0
Negative ID,48.90181,-122.56874,0,0
Negative ID,47.59582,-120.2441,0,0
Negative ID,46.21261,-119.251341,1,0
Negative ID,47.52303,-120.293274,0,0
Negative ID,48.94432,-122.480312,0,1
Negative ID,46.45362,-119.018948,0,0
Negative ID,48.61555,-117.929221,0,0
Negative ID,48.17285,-122.629824,0,0
Negative ID,47.4263,-119.27844,0,0
Negative ID,47.5564,-121.910806,0,1
Negative ID,47.39293,-119.47636,1,1
Negative ID,47.22499,-122.46741,1,0
Negative ID,46.30134,-119.558755,0,0
Negative ID,47.48574,-123.079233,1,1
Negative ID,48.66033,-122.387307,0,0
Negative ID,47.9796,-122.35803,0,0
Negative ID,47.93669,-122.227271,0,0
Negative ID,47.21782,-122.46766,0,1
Negative ID,47.3334,-119.55158,0,0
Negative ID,46.96661,-122.606666,0,0
Negative ID,47.8408,-120.0168,0,0
Negative ID,48.94254,-122.763153,0,0
Negative ID,47.89067,-122.15987,0,1
Negative ID,46.28427,-119.18917,1,0
Negative ID,48.75777,-122.496868,0,0
Negative ID,48.88661,-122.415481,0,0
Negative ID,47.84602,-122.508676,0,0
Negative ID,47.34985,-120.329027,1,1
Negative ID,47.64481,-122.387983,1,1
Negative ID,47.96893,-122.207196,0,1
Negative ID,47.20433,-121.99136,0,0
Negative ID,47.69082,-122.402076,0,1
Negative ID,47.34897,-122.56824,0,0
Negative ID,46.56685,-117.13003,1,0
Negative ID,48.90625,-122.64187,0,1
Negative ID,47.68023,-122.369057,1,0
Negative ID,46.22205,-119.273817,0,0
Negative ID,46.51784,-118.12447,0,0
Negative ID,48.10565,-119.783335,0,0
Negative ID,47.48707,-120.40347,0,0
Negative ID,47.8647,-122.199884,0,0
Negative ID,47.8408,-120.0168,0,0
Negative ID,46.72413,-120.809909,1,0
Negative ID,47.56812,-121.89086,1,1
Negative ID,47.48677,-120.330481,1,1
Negative ID,47.88064,-120.131697,1,0
Negative ID,47.35852,-120.32918,1,1
Negative ID,47.299,-122.225499,0,1
Negative ID,47.12482,-122.337135,0,0
Negative ID,47.42154,-119.121403,0,0
Negative ID,47.28879,-122.497881,0,0
Negative ID,47.77205,-120.11865,1,0
Negative ID,47.42329,-122.341813,0,1
Negative ID,48.83743,-122.533326,0,0
Negative ID,47.63898,-122.39303,0,0
Negative ID,46.81536,-122.994037,0,0
Negative ID,46.21848,-119.264509,0,0
Negative ID,47.18948,-119.333335,0,0
Negative ID,47.42428,-120.36561,0,0
Negative ID,46.25274,-118.88988,1,0
Negative ID,46.19469,-119.77268,0,0
Negative ID,47.6507,-122.672189,0,1
Negative ID,46.38082,-120.669736,1,0
Negative ID,47.15588,-119.238538,1,0
Negative ID,47.6656,-120.28701,1,0
Negative ID,47.68102,-122.301427,0,1
Negative ID,48.73696,-122.484699,0,0
Negative ID,47.1937,-122.98782,1,1
Negative ID,47.56679,-122.377226,0,0
Negative ID,46.22229,-119.276708,0,0
Negative ID,46.42121,-117.047162,1,0
Negative ID,47.46177,-122.281784,0,1
Negative ID,47.94683,-122.14333,0,1
Negative ID,47.29916,-122.882493,0,0
Negative ID,48.84675,-122.609404,0,0
Negative ID,47.22281,-119.99866,0,0
Negative ID,47.90353,-117.258282,0,0
Negative ID,47.30853,-119.54238,0,0
Negative ID,47.68073,-122.383875,0,0
Negative ID,47.5953,-122.121482,1,1
Negative ID,46.51806,-122.707123,1,1
Negative ID,48.39678,-122.443188,0,1
Negative ID,47.42889,-120.356416,0,0
Negative ID,47.68494,-122.03532,0,0
Negative ID,47.45051,-120.35903,0,0
Negative ID,47.38577,-120.31063,1,1
Negative ID,47.73992,-117.431883,0,1
Negative ID,47.41306,-120.35318,0,0
Negative ID,47.42469,-120.356537,1,1
Negative ID,47.4096,-120.357995,1,1
Negative ID,46.69525,-120.521207,1,1
Negative ID,47.59085,-122.072044,0,0
Negative ID,47.32327,-119.440667,0,0
Negative ID,47.1708,-120.019116,0,0
Negative ID,47.3791,-119.509346,0,1
Negative ID,48.0953,-123.388703,0,0
Negative ID,47.57241,-121.929017,0,1
Negative ID,46.61317,-120.484763,0,0
Negative ID,47.13196,-119.2771,0,1
Negative ID,46.53378,-117.91497,0,1
Negative ID,46.54874,-117.10136,0,0
Negative ID,47.37925,-119.50944,1,0
Negative ID,46.03758,-118.39948,0,0
Negative ID,45.64826,-122.760998,0,1
Negative ID,47.07463,-120.034134,0,0
Negative ID,47.16299,-122.02523,0,0
Negative ID,46.1874,-119.14533,0,0
Negative ID,47.86734,-120.00594,1,1
Negative ID,47.44183,-120.33581,0,0
Negative ID,47.69033,-122.274036,0,1
Negative ID,45.69544,-122.579099,0,0
Negative ID,47.24802,-122.309929,0,0
Negative ID,47.92181,-120.13204,0,0
Negative ID,47.46006,-122.33181,0,0
Negative ID,46.591,-119.14494,1,1
Negative ID,47.72413,-122.218747,0,1
Negative ID,47.21226,-122.498758,0,1
Negative ID,47.83415,-120.052643,0,1
Negative ID,47.83449,-120.038842,1,1
Negative ID,48.10722,-122.805339,1,1
Negative ID,47.0987,-120.59134,0,1
Negative ID,47.38272,-119.486962,0,0
Negative ID,47.40401,-120.322677,0,0
Negative ID,47.86293,-119.13336,0,0
Negative ID,47.54103,-122.63847,0,1
Negative ID,47.19499,-119.302895,0,0
Negative ID,47.14328,-119.852737,0,0
Negative ID,47.9166,-122.090083,0,0
Negative ID,46.66146,-118.86063,0,0
Negative ID,48.95921,-122.66856,0,0
Negative ID,47.71949,-122.302614,0,0
Negative ID,47.62728,-122.521,0,0
Negative ID,47.226,-119.214597,1,1
Negative ID,47.49471,-120.357834,0,1
Negative ID,47.37184,-119.49878,0,0
Negative ID,47.75166,-117.428378,0,0
Negative ID,48.61037,-123.14751,0,0
Negative ID,46.29128,-122.264514,0,0
Negative ID,47.5224,-120.47005,0,0
Negative ID,47.53512,-122.167869,0,0
Negative ID,47.15365,-122.004459,0,0
Negative ID,47.87311,-121.790065,1,0
Negative ID,47.09705,-119.28578,0,0
Negative ID,46.9958,-122.994285,1,0
Negative ID,47.91265,-122.09305,0,0
Negative ID,47.83171,-122.348836,0,0
Negative ID,47.31005,-122.330678,0,1
Negative ID,46.34612,-120.633108,0,1
Negative ID,48.59945,-123.111312,0,0
Negative ID,47.33096,-118.69595,0,0
Negative ID,47.12739,-119.273195,0,1
Negative ID,47.32655,-119.595877,1,0
Negative ID,47.59534,-122.538166,0,1
Negative ID,47.26307,-122.47601,1,0
Negative ID,46.82616,-119.1742,0,1
Negative ID,47.49577,-122.298579,0,1
Negative ID,47.40873,-122.331863,1,0
Negative ID,47.07279,-123.26789,1,0
Negative ID,47.35925,-122.275561,0,1
Negative ID,47.05939,-122.74104,0,0
Negative ID,47.66309,-122.33961,0,0
Negative ID,47.30151,-122.3303,0,0
Negative ID,47.01158,-124.167418,0,0
Negative ID,47.67936,-122.282414,0,0
Negative ID,47.94171,-122.299965,0,0
Negative ID,47.57854,-122.290114,0,0
Negative ID,47.72339,-122.210663,1,0
Negative ID,47.32722,-122.164201,0,0
Negative ID,46.67329,-120.617498,0,0
Negative ID,47.94881,-122.114768,0,0
Negative ID,47.40748,-122.331949,0,0
Negative ID,47.37326,-122.225632,0,0
Negative ID,47.56549,-122.146179,1,1
Negative ID,47.50103,-122.229064,0,0
Negative ID,47.62984,-120.68945,0,0
Negative ID,48.78476,-122.574052,0,0
Negative ID,47.17606,-120.94417,0,0
Negative ID,47.30151,-122.3303,0,0
Negative ID,47.86058,-122.297147,0,0
Negative ID,48.14232,-122.56832,0,0
Negative ID,47.76908,-122.208112,0,0
Negative ID,47.2877,-122.398039,0,0
Negative ID,47.6548,-122.160521,0,0
Negative ID,47.47755,-122.060598,0,0
Negative ID,48.74112,-122.432296,0,0
Negative ID,47.8237,-122.330476,0,0
Negative ID,48.12629,-122.364514,1,0
Negative ID,48.53003,-122.393144,0,0
Negative ID,47.62984,-120.68945,0,0
Negative ID,48.40834,-122.336482,0,0
Negative ID,48.20631,-122.46102,0,0
Negative ID,47.57053,-117.680144,0,0
Negative ID,48.19414,-122.498435,0,0
Negative ID,47.76086,-122.561651,0,0
Negative ID,48.55664,-122.89296,0,0
Negative ID,47.68786,-122.403513,1,0
Negative ID,47.51449,-122.196704,0,0
Negative ID,48.12424,-122.360423,0,0
Negative ID,47.53123,-122.222416,0,0
Negative ID,47.00624,-122.868108,1,0
Negative ID,48.57073,-123.151568,0,0
Negative ID,47.30089,-122.380614,0,0
Negative ID,47.25513,-122.44164,0,0
Negative ID,47.58728,-122.377808,1,0
Negative ID,48.11495,-123.45189,0,0
Negative ID,45.638,-122.641535,0,0
Negative ID,46.83456,-123.049212,0,0
Negative ID,48.98596,-122.743605,1,0
Negative ID,47.27454,-122.508633,1,0
Negative ID,47.19102,-123.12866,0,0
Negative ID,48.0775,-122.490143,0,0
Negative ID,48.99318,-122.745703,0,0
Negative ID,47.0252,-122.750015,0,0
Negative ID,47.85533,-121.677526,0,0
Negative ID,48.3376,-122.608292,0,0
Negative ID,48.09741,-122.169435,1,0
Negative ID,47.70806,-122.250595,0,0
Negative ID,47.76977,-122.312458,1,0
Negative ID,47.16808,-123.06752,0,0
Negative ID,48.06647,-122.127107,0,0
Negative ID,47.65171,-122.69275,1,0
Negative ID,48.30356,-122.318848,0,0
Negative ID,48.94175,-122.762904,0,0
Negative ID,48.20652,-122.050284,0,0
Negative ID,47.5245,-122.368399,0,0
Negative ID,47.09274,-122.311432,1,0
Negative ID,47.90705,-122.384789,0,0
Negative ID,48.12963,-123.20584,1,0
Negative ID,47.63356,-122.703293,1,0
Negative ID,46.99552,-120.53187,0,0
Negative ID,47.49722,-122.343983,0,0
Negative ID,48.93325,-122.72628,0,0
Negative ID,48.11378,-122.80198,0,0
Negative ID,48.78122,-122.417208,0,0
Negative ID,47.3094,-122.225668,1,0
Negative ID,47.51751,-122.193463,0,0
Negative ID,48.91066,-122.750623,0,0
Negative ID,47.78776,-122.382411,0,0
Negative ID,48.72359,-122.467419,0,0
Negative ID,48.08158,-121.96931,0,0
Negative ID,47.89958,-122.192795,0,0
Negative ID,48.86969,-122.52184,0,0
Negative ID,47.35386,-122.278328,0,0
Negative ID,46.48048,-124.05349,1,0
Negative ID,47.80304,-122.232806,0,0
Negative ID,47.62559,-122.284033,0,0
Negative ID,48.95744,-122.451843,0,0
Negative ID,47.54862,-122.585193,0,0
Negative ID,47.3577,-122.310946,0,0
Negative ID,46.73035,-123.00349,1,0
Negative ID,47.35501,-122.081318,1,0
Negative ID,48.75882,-122.798825,0,0
Negative ID,48.27337,-122.732061,0,0
Negative ID,48.71888,-122.50155,1,0
Negative ID,47.98726,-122.100618,0,0
Negative ID,46.55815,-121.760191,0,0
Negative ID,47.49714,-123.07376,0,0
Negative ID,47.67923,-122.271999,1,0
Negative ID,48.53228,-121.887885,0,0
Negative ID,48.93641,-122.140976,0,0
Negative ID,46.98113,-122.363221,0,0
Negative ID,47.39416,-122.189103,0,0
Negative ID,47.22215,-122.382657,0,0
Negative ID,45.60403,-122.556453,0,1
Negative ID,47.58768,-122.134286,1,0
Negative ID,47.33277,-122.50721,0,0
Negative ID,46.94239,-122.60735,0,0
Negative ID,47.74202,-122.357757,0,0
Negative ID,47.65643,-122.391913,1,0
Negative ID,47.79248,-122.231334,0,0
Negative ID,47.50214,-122.453172,1,0
Negative ID,47.78532,-122.375933,0,0
Negative ID,46.6146,-121.680851,0,0
Negative ID,48.75235,-122.47122,0,0
Negative ID,48.42565,-122.594598,0,0
Negative ID,47.2676,-122.64235,0,0
Negative ID,47.57134,-122.609472,1,0
Negative ID,47.66133,-122.319985,0,0
Negative ID,47.32878,-122.043424,0,0
Negative ID,47.20199,-122.447998,1,0
Negative ID,47.68853,-117.457062,0,0
Negative ID,48.42874,-122.33166,0,0
Negative ID,47.58012,-122.309006,0,0
Negative ID,47.22784,-122.214784,0,0
Negative ID,47.30122,-122.142903,0,0
Negative ID,48.13808,-122.22604,0,0
Negative ID,47.15666,-122.933837,0,0
Negative ID,47.62984,-120.68945,1,0
Negative ID,47.73486,-121.93497,0,0
Negative ID,47.42899,-122.47818,0,0
Negative ID,47.57438,-122.30544,0,0
Negative ID,47.66958,-122.268095,0,1
Negative ID,47.04437,-122.82324,1,0
Negative ID,47.61547,-122.351444,1,0
Negative ID,47.79803,-122.49771,0,0
Negative ID,46.95981,-122.91682,0,0
Negative ID,47.21493,-121.137946,0,0
Negative ID,47.69262,-122.38599,1,0
Negative ID,47.8506,-122.085242,1,0
Negative ID,48.19514,-122.12287,1,0
Negative ID,48.90586,-122.660269,0,0
Negative ID,46.27509,-122.90724,0,0
Negative ID,46.25287,-123.316321,0,0
Negative ID,48.39867,-122.54109,0,0
Negative ID,47.36058,-122.274853,0,0
Negative ID,48.49268,-122.63295,0,0
Negative ID,48.75456,-122.355564,0,0
Negative ID,47.61158,-122.046007,0,0
Negative ID,47.62817,-122.280612,0,0
Negative ID,47.62984,-120.68945,0,0
Negative ID,47.42023,-122.010821,0,0
Negative ID,47.42365,-122.15307,0,0
Negative ID,47.04883,-122.859501,1,0
Negative ID,48.66261,-122.496247,0,0
Negative ID,48.75817,-122.42294,0,0
Negative ID,48.54578,-122.220749,0,0
Negative ID,48.21928,-122.53109,0,0
Negative ID,47.38997,-122.221749,1,0
Negative ID,47.11401,-122.091317,0,0
Negative ID,47.67469,-122.393817,0,0
Negative ID,47.83522,-122.3335,0,0
Negative ID,47.62984,-120.68945,0,0
Negative ID,48.53987,-122.97461,0,0
Negative ID,48.69713,-122.90696,0,0
Negative ID,47.67596,-122.278612,0,0
Negative ID,48.02679,-117.60684,0,0
Negative ID,48.94818,-122.434531,1,0
Negative ID,48.14047,-122.59477,0,0
Negative ID,47.12022,-122.190379,1,0
Negative ID,48.09914,-123.43533,0,0
Negative ID,47.85993,-121.826303,1,0
Negative ID,48.93758,-122.482884,0,0
Negative ID,46.98686,-124.16696,0,0
Negative ID,48.10739,-122.4382,0,0
Negative ID,47.86591,-121.986893,0,0
Negative ID,48.62608,-122.463971,1,0
Negative ID,48.70803,-122.464589,0,0
Negative ID,47.94282,-122.262684,0,0
Negative ID,48.89177,-122.470845,0,0
Negative ID,47.9962,-121.912459,0,0
Negative ID,47.86066,-122.317834,1,0
Negative ID,47.00191,-122.794889,0,0
Negative ID,48.75817,-122.482435,0,0
Negative ID,47.99007,-122.026328,0,0
Negative ID,47.01261,-122.995176,0,0
Negative ID,47.48294,-122.322921,0,0
Negative ID,47.39316,-122.261483,0,0
Negative ID,47.30456,-122.423195,0,0
Negative ID,45.7307,-122.66699,0,0
Negative ID,48.90444,-122.750597,1,0
Negative ID,47.62775,-122.306369,0,0
Negative ID,48.41004,-119.4894,0,1
Negative ID,48.11766,-122.78191,0,0
Negative ID,47.42384,-122.331329,0,0
Negative ID,47.35541,-122.936154,1,0
Negative ID,47.67295,-122.388564,0,0
Negative ID,47.71441,-122.307948,0,0
Negative ID,47.01818,-122.761756,0,0
Negative ID,47.57419,-122.166457,0,1
Negative ID,48.9429,-122.45079,0,0
Negative ID,47.66408,-117.203641,0,0
Negative ID,47.53766,-122.16548,0,0
Negative ID,48.46846,-122.33029,0,0
Negative ID,48.42374,-122.614829,0,0
Negative ID,47.70171,-122.359622,0,0
Negative ID,46.18372,-123.05727,0,0
Negative ID,48.5034,-119.338305,0,0
Negative ID,47.86271,-122.33108,0,0
Negative ID,47.99879,-122.541576,0,0
Negative ID,48.01479,-122.06411,1,0
Negative ID,47.03648,-122.820493,0,0
Negative ID,47.57154,-122.615045,0,0
Negative ID,47.23433,-122.415417,0,0
Negative ID,48.59566,-122.8124,0,0
Negative ID,48.86868,-122.624094,0,0
Negative ID,48.09596,-123.795088,0,0
Negative ID,47.2849,-122.366577,0,0
Negative ID,48.5738,-123.052183,0,0
Negative ID,48.12197,-122.318962,0,0
Negative ID,46.84135,-122.392016,1,0
Negative ID,48.84843,-122.593445,0,0
Negative ID,47.59716,-122.618465,0,1
Negative ID,47.67376,-122.748349,0,0
Negative ID,47.99491,-122.50952,0,0
Negative ID,48.05644,-122.175845,1,0
Negative ID,47.6396,-122.572131,0,0
Negative ID,48.15769,-122.48446,0,0
Negative ID,47.76348,-120.162472,0,1
Negative ID,48.49599,-122.673283,0,0
